dataset,model,method,method_display,video_idx,deletion_auc,insertion_auc,avg_drop,pointing_game,iou50,iou_value
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,7,0.8045125861574914,0.20875574583568718,99.99943967055013,0.0,0.0,0.04981560223674839
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,8,0.33714569812005263,0.5452678937476214,95.75977921485901,1.0,0.0,0.1582831079603504
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,9,0.5511040556705601,0.3009184311680909,99.9786082922087,0.0,0.0,0.03994100247434978
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,10,0.6898851753661787,0.37130143006990546,99.95701887394459,0.0,0.0,0.18575563038434545
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,11,0.41711388252813714,0.8449859081594537,88.20363506030135,0.0,0.0,0.33525237594126583
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,12,0.09384239723933127,0.9969686784154024,0.0,1.0,0.0,0.31737074881805705
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,13,0.6344614868128169,0.39199822793856653,99.72003102302551,1.0,0.0,0.1323638953192901
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,14,0.7346893316403145,0.2856163590035297,98.77187595032167,0.0,0.0,0.0
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,15,0.6587728744633634,0.5241087216455983,71.22735986543613,0.0,0.0,0.10105174712034923
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,16,0.0936023781332099,0.8779147056114467,50.0062562234664,1.0,0.0,0.4233547668060224
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,17,0.5125622121593658,0.31688939722423126,99.8053530443182,1.0,0.0,0.07158138221623735
