Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
pointing_game,Kinetics400,3.0,3D-Kernel-SHAP,0.5,0.5,30,False,False
pointing_game,Kinetics400,3.0,AOSA,0.5,0.5,30,False,False
pointing_game,Kinetics400,3.0,LV-LOCO,0.5,0.5,30,False,False
pointing_game,Kinetics400,5.5,3D-RISE,0.4666666666666667,0.0,30,False,False
pointing_game,Kinetics400,5.5,SaliencyTubes,0.4666666666666667,0.0,30,False,False
pointing_game,Kinetics400,7.0,LV-Univ-Pred,0.36666666666666664,0.0,30,False,False
pointing_game,Kinetics400,8.0,3D-Sampled-Occl-Sens,0.3333333333333333,0.0,30,False,False
pointing_game,Kinetics400,9.0,GradCAM,0.2,0.0,30,False,True
pointing_game,Overall,1.0,3D-LIME,0.6833333333333333,1.0,60,True,False
pointing_game,Overall,2.0,3D-Kernel-SHAP,0.6,1.0,60,False,False
pointing_game,Overall,3.0,3D-RISE,0.5833333333333334,1.0,60,False,False
pointing_game,Overall,4.0,LV-LOCO,0.55,1.0,60,False,False
pointing_game,Overall,5.0,3D-Sampled-Occl-Sens,0.48333333333333334,0.0,60,False,False
pointing_game,Overall,6.5,AOSA,0.4666666666666667,0.0,60,False,False
pointing_game,Overall,6.5,SaliencyTubes,0.4666666666666667,0.0,60,False,False
pointing_game,Overall,8.0,LV-Univ-Pred,0.4166666666666667,0.0,60,False,False
pointing_game,Overall,9.0,GradCAM,0.3,0.0,60,False,True
runtime_seconds,EtriActivity3D,1.5,GradCAM,1.8045071840286255,1.8392757177352905,30,True,False
runtime_seconds,EtriActivity3D,1.5,SaliencyTubes,1.8045071840286255,1.8392757177352905,30,True,False
runtime_seconds,EtriActivity3D,3.0,AOSA,75.27436759471894,75.14227628707886,30,False,False
runtime_seconds,EtriActivity3D,4.0,LV-Univ-Pred,96.88619972864787,98.48113894462585,30,False,False
runtime_seconds,EtriActivity3D,5.0,LV-LOCO,97.18263201713562,98.62417578697205,30,False,False
runtime_seconds,EtriActivity3D,6.0,3D-RISE,440.13420581817627,440.5817264318466,30,False,False
runtime_seconds,EtriActivity3D,7.0,3D-LIME,442.5504455169042,443.0754688978195,30,False,False
runtime_seconds,EtriActivity3D,8.0,3D-Kernel-SHAP,449.1502165476481,449.4127378463745,30,False,False
runtime_seconds,EtriActivity3D,9.0,3D-Sampled-Occl-Sens,473.745352935791,474.38277220726013,30,False,True
runtime_seconds,Kinetics400,1.5,GradCAM,2.1778955539067586,2.1774399280548096,30,True,False
runtime_seconds,Kinetics400,1.5,SaliencyTubes,2.1778955539067586,2.1774399280548096,30,True,False
runtime_seconds,Kinetics400,3.0,AOSA,75.18966939449311,75.83542156219482,30,False,False
runtime_seconds,Kinetics400,4.0,LV-Univ-Pred,87.14995005130768,87.38379490375519,30,False,False
runtime_seconds,Kinetics400,5.0,LV-LOCO,87.39453608194987,87.15740549564362,30,False,False
runtime_seconds,Kinetics400,6.0,3D-RISE,440.94725884596505,441.1508022546768,30,False,False
runtime_seconds,Kinetics400,7.0,3D-LIME,443.45161691506706,443.4858988523483,30,False,False
runtime_seconds,Kinetics400,8.0,3D-Kernel-SHAP,469.9724387963613,470.0678961277008,30,False,False
runtime_seconds,Kinetics400,9.0,3D-Sampled-Occl-Sens,474.8333231131236,475.1879338026047,30,False,True
runtime_seconds,Overall,1.5,GradCAM,1.991201368967692,2.100161910057068,60,True,False
runtime_seconds,Overall,1.5,SaliencyTubes,1.991201368967692,2.100161910057068,60,True,False
