metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
insertion_auc,Overall,3D-LIME-NEW,3D-LIME,60,0.765167862452626,0.22142566576010617,0.8248963150922253,0.6379238628361459,0.9506716279519309,0.31274776511578506,higher
insertion_auc,Overall,3D-RISE-NEW,3D-RISE,60,0.7201110160529968,0.2224642183266276,0.7893361764661848,0.6113829336517302,0.9005774284680687,0.2891944948163384,higher
insertion_auc,Overall,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,60,0.5862003127756257,0.2234370221424034,0.5986371205901958,0.4454462204313421,0.7493732806861665,0.3039270602548244,higher
insertion_auc,Overall,AOSA,AOSA,60,0.6248926206922067,0.27597226286407733,0.7066991025699931,0.40171364680942634,0.8282663008493992,0.4265526540399729,higher
insertion_auc,Overall,GradCAM,GradCAM,60,0.6140884298337174,0.21280454042209385,0.6443272882693469,0.4411066803094777,0.7806972622615075,0.3395905819520298,higher
insertion_auc,Overall,LV-LOCO-NEW,LV-LOCO,60,0.6418168603359544,0.24853376351404147,0.6958964275049591,0.464582650638624,0.8549683591251586,0.3903857084865346,higher
insertion_auc,Overall,LV-Univ-Pred-NEW,LV-Univ-Pred,60,0.48489492556816904,0.2569640085472982,0.39920388892384584,0.28453112627970306,0.719074069715693,0.4345429434359899,higher
insertion_auc,Overall,SaliencyTubes,SaliencyTubes,60,0.6661444451517302,0.21413219672077974,0.6819534872885298,0.5399805769889414,0.832057347522716,0.29207677053377457,higher
iou50,EtriActivity3D,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.2,0.40683810217248617,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,3D-LIME-NEW,3D-LIME,30,0.16666666666666666,0.3790490217894517,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,3D-RISE-NEW,3D-RISE,30,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.0,0.0,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,AOSA,AOSA,30,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,GradCAM,GradCAM,30,0.03333333333333333,0.18257418583505536,0.0,0.0,0.0,0.0,higher
iou50,EtriActivity3D,LV-LOCO-NEW,LV-LOCO,30,0.23333333333333334,0.4301830671520763,0.0,0.0,0.0,0.0,higher
